Status   Name               DisplayName                           
------   ----               -----------                           
Running  AppIDSvc           Identidad de aplicación               
Running  Appinfo            Información de la aplicación          
Running  AppXSvc            Servicio de implementación de AppX ...
Running  AudioEndpointBu... Compilador de extremo de audio de W...
Running  Audiosrv           Audio de Windows                      
Running  BFE                Motor de filtrado de base             
Running  BrokerInfrastru... Servicio de infraestructura de tare...
Running  camsvc             Servicio Administrador de funcional...
Running  cbdhsvc_65b2c      Servicio de usuario del portapapele...
Running  CDPSvc             Servicio de plataforma de dispositi...
Running  CDPUserSvc_65b2c   Servicio de usuario de plataforma d...
Running  CoreMessagingRe... CoreMessaging                         
Running  CryptSvc           Servicios de cifrado                  
Running  DcomLaunch         Iniciador de procesos de servidor DCOM
Running  Dhcp               Cliente DHCP                          
Running  DiagTrack          Experiencias del usuario y telemetr...
Running  DispBrokerDeskt... Servicio de directivas de pantallas   
Running  DisplayEnhancem... Servicio de mejora de visualización   
Running  Dnscache           Cliente DNS                           
Running  DoSvc              Optimización de distribución          
Running  DPS                Servicio de directivas de diagnóstico 
Running  DusmSvc            Uso de datos                          
Running  EventLog           Registro de eventos de Windows        
Running  EventSystem        Sistema de eventos COM+               
Running  FontCache          Servicio de caché de fuentes de Win...
Running  gpsvc              Cliente de directiva de grupo         
Running  InventorySvc       Servicio de inventario y compatibil...
Running  iphlpsvc           Aplicación auxiliar IP                
Running  KeyIso             Aislamiento de claves CNG             
Running  LanmanServer       Servidor                              
Running  LanmanWorkstation  Estación de trabajo                   
Running  lfsvc              Servicio de geolocalización           
Running  lmhosts            Aplicación auxiliar de NetBIOS sobr...
Running  LSM                Administrador de sesión local         
Running  MDCoreSvc          Servicio principal de Microsoft Def...
Running  mpssvc             Firewall de Windows Defender          
Running  NcbService         Agente de conexión de red             
Running  netprofm           Servicio de lista de redes            
Running  nsi                Servicio Interfaz de almacenamiento...
Running  OneSyncSvc_65b2c   Sincronizar host_65b2c                
Running  PcaSvc             Servicio Asistente para la compatib...
Running  PlugPlay           Plug and Play                         
Running  Power              Energía                               
Running  ProfSvc            Servicio de perfil de usuario         
Running  RasMan             Administrador de conexiones de acce...
Running  RmSvc              Servicio de administración de radio   
Running  RpcEptMapper       Asignador de extremos de RPC          
Running  RpcSs              Llamada a procedimiento remoto (RPC)  
Running  SamSs              Administrador de cuentas de seguridad 
Running  Schedule           Programador de tareas                 
Running  SecurityHealthS... Servicio Seguridad de Windows         
Running  SENS               Servicio de notificación de eventos...
Running  ShellHWDetection   Detección de hardware shell           
Running  Spooler            Cola de impresión                     
Running  SSDPSRV            Detección SSDP                        
Running  SstpSvc            Servicio de protocolo de túnel de s...
Running  StateRepository    Servicio de repositorio de estado     
Running  StorSvc            Servicio de almacenamiento            
Running  SysMain            SysMain                               
Running  SystemEventsBroker Agente de eventos del sistema         
Running  TextInputManage... Servicio de administración de entra...
Running  Themes             Temas                                 
Running  TimeBrokerSvc      Agente de eventos de tiempo           
Running  TokenBroker        Administrador de cuentas web          
Running  TrkWks             Cliente de seguimiento de vínculos ...
Running  UdkUserSvc_65b2c   Servicio de usuario de Udk_65b2c      
Running  UserManager        Administrador de usuarios             
Running  UsoSvc             Servicio orquestador de actualizaci...
Running  VaultSvc           Administrador de credenciales         
Running  W32Time            Hora de Windows                       
Running  Wcmsvc             Administrador de conexiones de Windows
Running  WdiSystemHost      Host de sistema de diagnóstico        
Running  WdNisSvc           Servicio de inspección de red de An...
Running  webthreatdefsvc    Servicio de defensa contra amenazas...
Running  webthreatdefuse... Servicio de usuario de defensa cont...
Running  whesvc             Estado y experiencias optimizadas d...
Running  WinDefend          Servicio Antivirus de Microsoft Def...
Running  WinHttpAutoProx... Servicio de detección automática de...
Running  Winmgmt            Instrumental de administración de W...
Running  WLMS               Servicio de supervisión de licencia...
Running  WpnService         Servicio del sistema de notificacio...
Running  WpnUserService_... Servicio de usuario de notificacion...
Running  WSAIFabricSvc      WSAIFabricSvc                         
Running  wscsvc             Centro de seguridad                   
Running  WSearch            Windows Search                        
Running  wuauserv           Windows Update     
